Date,EW_Open
2015-01-01,136.42988594210877
2015-01-02,136.42988594210877
2015-01-05,136.42988594210877
2015-01-06,133.6604640143258
2015-01-07,132.10066542333487
2015-01-08,134.19810585099825
2015-01-09,136.33944305108517
2015-01-12,134.6028098281549
2015-01-13,133.33220228856925
2015-01-14,134.87348597390312
2015-01-15,134.35177886729338
2015-01-16,136.06599342579744
2015-01-19,135.08266886886284
2015-01-20,135.3565212755787
2015-01-21,139.26352002669353
2015-01-22,140.16371016599695
2015-01-23,142.1204379918624
2015-01-26,144.74504429953438
2015-01-27,146.2295315800881
2015-01-28,144.79249934760892
2015-01-29,144.28810909816198
2015-01-30,142.6111361055958
2015-02-02,141.29882466063208
2015-02-03,142.39076081100777
2015-02-04,145.59669395368925
2015-02-05,144.19515948392907
2015-02-06,143.25211059803866
2015-02-09,141.40363693237305
2015-02-10,141.62343099165935
2015-02-11,141.55896698698706
2015-02-12,143.21505437578475
2015-02-13,143.1284946324874
2015-02-16,143.1284946324874
2015-02-17,143.1284946324874
2015-02-18,143.1284946324874
2015-02-19,143.1284946324874
2015-02-20,143.1284946324874
2015-02-23,143.1284946324874
2015-02-24,145.23902735418204
2015-02-25,145.96423213335933
2015-02-26,144.83247969101888
2015-02-27,144.83247969101888
2015-03-02,144.24796413888737
2015-03-03,143.69343767360766
2015-03-04,142.62381080705293
2015-03-05,143.02137890640572
2015-03-06,141.57433626603108
2015-03-09,144.1950702083354
2015-03-10,144.08240359170097
2015-03-11,140.45077617800965
2015-03-12,142.245014404764
2015-03-13,143.1655056817191
2015-03-16,142.2934567003834
2015-03-17,141.85476386790373
2015-03-18,142.9521698075898
2015-03-19,145.58404838795565
2015-03-20,145.2332954212111
2015-03-23,145.31236183400057
2015-03-24,145.80373302771122
2015-03-25,145.1646836339211
2015-03-26,142.21634298441361
2015-03-27,142.12242262704032
2015-03-30,140.70485329141422
2015-03-31,140.97838510785783
2015-04-01,141.26774534887198
2015-04-02,141.8900352205549
2015-04-03,141.8900352205549
2015-04-06,141.8900352205549
2015-04-07,142.5255283044309
2015-04-08,141.7050531153776
2015-04-09,140.42460373469763
2015-04-10,140.56696060725622
2015-04-13,140.8415435090357
2015-04-14,140.47905316644784
2015-04-15,140.164761990917
2015-04-16,140.69834105822505
2015-04-17,142.4598984621009
2015-04-20,141.62560478521854
2015-04-21,144.8609189208673
2015-04-22,145.57476777446513
2015-04-23,148.330651069174
2015-04-24,152.12230042048864
2015-04-27,152.68226997219787
2015-04-28,154.07931357013936
2015-04-29,153.0011642806384
2015-04-30,151.25436119157442
2015-05-01,151.25436119157442
2015-05-04,151.3189459820183
2015-05-05,152.18970931306177
2015-05-06,151.24111755526795
2015-05-07,150.17696764031234
2015-05-08,149.3878566391614
2015-05-11,150.74844909200863
2015-05-12,148.50780224313542
2015-05-13,149.3069879181531
2015-05-14,149.81611975845024
2015-05-15,148.62848379174056
2015-05-18,148.2443806005984
2015-05-19,149.44153587185608
2015-05-20,153.44913675347152
2015-05-21,152.35917081638257
2015-05-22,152.71677867733703
2015-05-25,155.00693383508798
2015-05-26,155.73125810039286
2015-05-27,155.40193863304293
2015-05-28,157.8635725877723
2015-05-29,156.31245054517473
2015-06-01,154.9687358116617
2015-06-02,154.87343426139986
2015-06-03,154.97053837289616
2015-06-04,153.7009655699438
2015-06-05,147.64554405212402
2015-06-08,148.29740775361353
2015-06-09,149.5042969645286
2015-06-10,147.83353836682377
2015-06-11,147.85171539929448
2015-06-12,148.9643367845185
2015-06-15,148.09474390380237
2015-06-16,146.5353277946005
2015-06-17,146.84412800535864
2015-06-18,147.75694796503808
2015-06-19,147.75694796503808
2015-06-22,149.11198797031324
2015-06-23,152.16054830745776
2015-06-24,153.5185143412376
2015-06-25,154.08451043343058
2015-06-26,155.84800451629016
2015-06-29,152.17953471748197
2015-06-30,150.72006684906628
2015-07-01,152.760702035865
2015-07-02,156.11608392365125
2015-07-03,155.99538925715856
2015-07-06,154.71667663418518
2015-07-07,152.56934531854122
2015-07-08,147.7571893808793
2015-07-09,140.81366307394845
2015-07-10,142.78507668631417
2015-07-13,144.0376295751455
2015-07-14,146.90760980333602
2015-07-15,148.25755775218107
2015-07-16,147.03612872532435
2015-07-17,148.9243486170866
2015-07-20,148.80324231361857
2015-07-21,147.90162392051852
2015-07-22,145.11612668329354
2015-07-23,145.93386445726668
2015-07-24,142.69162253944242
2015-07-27,140.016350279049
2015-07-28,135.9141360886243
2015-07-29,138.76935149212272
2015-07-30,136.4127341095282
2015-07-31,138.4199534630289
2015-08-03,137.31613011262854
2015-08-04,133.0120452764083
2015-08-05,132.3739295492367
2015-08-06,131.90910279020972
2015-08-07,128.34337339595874
2015-08-10,131.27814651022152
2015-08-11,136.40804205135424
2015-08-12,134.35325326724927
2015-08-13,133.94114469022168
2015-08-14,133.571882909658
2015-08-17,131.1677415030343
2015-08-18,132.14916272066077
2015-08-19,131.67875441726372
2015-08-20,127.19201226137122
2015-08-21,123.37373825968528
2015-08-24,119.05643114751699
2015-08-25,118.63424551243685
2015-08-26,123.98489558940031
2015-08-27,126.05392744103257
2015-08-28,128.6882812636239
2015-08-31,129.70660419853365
2015-09-01,130.07913130156848
2015-09-02,127.08864951620296
2015-09-03,128.44475376362703
2015-09-04,126.77380714611131
2015-09-07,122.24144521051524
2015-09-08,121.0312212632627
2015-09-09,124.09745145330623
2015-09-10,127.59678319035744
2015-09-11,127.52304709687525
2015-09-14,130.7552827912934
2015-09-15,130.27459146538558
2015-09-16,126.99377894888119
2015-09-17,129.74229804836975
2015-09-18,131.47283005227848
2015-09-21,129.15329884509651
2015-09-22,128.3373346134108
2015-09-23,126.566548658877
2015-09-24,126.67479617255074
2015-09-25,122.15426035316624
2015-09-28,122.15426035316624
2015-09-29,124.07336968791728
2015-09-30,120.91504110608783
2015-10-01,121.42007514408657
2015-10-02,120.21282713753837
2015-10-05,122.9948294892603
2015-10-06,123.47574926882373
2015-10-07,126.58803571973529
2015-10-08,127.04889028899524
2015-10-09,127.04889028899524
2015-10-12,125.42076684990708
2015-10-13,127.78016041736214
2015-10-14,126.09320455667924
2015-10-15,125.81015958591384
2015-10-16,128.1469834775341
2015-10-19,126.31101076943534
2015-10-20,123.51143815566083
2015-10-21,123.41275078909737
2015-10-22,122.7498214098872
2015-10-23,125.6357205254691
2015-10-26,125.09353363270662
2015-10-27,126.07778305910071
2015-10-28,124.84726148722123
2015-10-29,126.13176927761155
2015-10-30,123.75910301597752
2015-11-02,123.53713899729203
2015-11-03,127.60971900394985
2015-11-04,130.5368276323591
2015-11-05,133.3330386998702
2015-11-06,134.1929052897862
2015-11-09,128.245013275925
2015-11-10,123.76900388756577
2015-11-11,124.526621779617
2015-11-12,122.47521692392777
2015-11-13,121.35704961115
2015-11-16,120.00056072157257
2015-11-17,122.99214168470733
2015-11-18,123.13572087579844
2015-11-19,123.51210160158118
2015-11-20,124.87097837487046
2015-11-23,126.32862145560128
2015-11-24,124.19842188698905
2015-11-25,120.86448451450893
2015-11-26,121.47330546865658
2015-11-27,122.77013638554787
2015-11-30,120.27931581224713
2015-12-01,121.22368594578334
2015-12-02,123.18168581748495
2015-12-03,122.6100385626968
2015-12-04,122.42517217324705
2015-12-07,122.17711866145231
2015-12-08,119.1309557836883
2015-12-09,117.93429300736408
2015-12-10,115.91744072583256
2015-12-11,116.12923854711104
2015-12-14,114.51920230048043
2015-12-15,113.67759036044686
2015-12-16,114.14830766405377
2015-12-17,113.76116447059475
2015-12-18,114.97292383349672
2015-12-21,114.92919251383567
2015-12-22,117.45856869950586
2015-12-23,117.7752913066319
2015-12-24,117.87327488101259
2015-12-25,116.69317545209613
2015-12-28,118.15479979223134
2015-12-29,116.99642570651308
2015-12-30,117.11901342625521
2015-12-31,116.29429947600073
2016-01-01,116.29429947600073
2016-01-04,116.20487334776898
2016-01-05,111.58599945963645
