Date,EW_Close_Wealth,EW_Open_Wealth
2015-01-01,1.0,1.0
2015-01-02,1.0,1.0
2015-01-05,1.0,1.0
2015-01-06,0.9763601487385504,0.988805796449101
2015-01-07,0.9785510538525812,0.9752522920812967
2015-01-08,0.9948661749775033,0.9872158122838854
2015-01-09,0.9967365591891385,1.0007845982758528
2015-01-12,0.9925416951218368,0.9929946596571216
2015-01-13,1.0016268088226588,0.9897654650562976
2015-01-14,0.9949706020817826,0.9995192259592899
2015-01-15,0.9907824267938544,0.994094331192094
2015-01-16,0.9844683703282042,0.9929132116673391
2015-01-19,0.9873148686916975,0.9898293108094
2015-01-20,0.9961325251904882,0.98807837269433
2015-01-21,1.0023117599153692,0.999062116046396
2015-01-22,1.0094629076642632,1.002049608005766
2015-01-23,1.0180771432059692,1.015324449546963
2015-01-26,1.0199767508527038,1.016256934429761
2015-01-27,1.0246628972091174,1.0241848730554877
2015-01-28,1.0221573671744737,1.0175162198267105
2015-01-29,1.0125637210359808,1.0156317437986995
2015-01-30,1.0050888762429289,1.0115503648638466
2015-02-02,1.007533112074419,1.0037112919454485
2015-02-03,1.012331240079558,1.007082913256305
2015-02-04,1.0201655656974096,1.0166843279863529
2015-02-05,1.0216996494590918,1.0182620424681181
2015-02-06,1.0161511292338492,1.019595290827161
2015-02-09,1.0137440706067806,1.0144328925607997
2015-02-10,1.010843582134708,1.0110353311156952
2015-02-11,1.0140642695716136,1.0118641693850752
2015-02-12,1.017041381792302,1.015402750871222
2015-02-13,1.0197683553993295,1.016124248242024
2015-02-16,1.0197683553993295,1.016124248242024
2015-02-17,1.0197683553993295,1.016124248242024
2015-02-18,1.0197683553993295,1.016124248242024
2015-02-19,1.0197683553993295,1.016124248242024
2015-02-20,1.0197683553993295,1.016124248242024
2015-02-23,1.0197683553993295,1.016124248242024
2015-02-24,1.0284201748746182,1.0282381355177568
2015-02-25,1.0338290574313111,1.0304462461981758
2015-02-26,1.0252496059195795,1.0305755518640742
2015-02-27,1.0252496059195795,1.0305755518640742
2015-03-02,1.0254682277761413,1.030165588462993
2015-03-03,1.0246695296239667,1.0280566267594835
2015-03-04,1.027072998781239,1.0215051965113684
2015-03-05,1.0232884447669544,1.0272257876733042
2015-03-06,1.029759743943283,1.022055235990903
2015-03-09,1.0224865252044257,1.0227886009590295
2015-03-10,1.0210922389676609,1.0213476861772892
