"日期","收市","開市","高","低","升跌（%）"
"2024-4-12","1.535","1.535","1.535","1.535","0.00%"
"2024-4-11","1.535","1.495","1.535","1.495","2.68%"
"2024-4-10","1.495","1.485","1.495","1.485","0.67%"
"2024-4-9","1.485","1.515","1.515","1.485","-1.98%"
"2024-4-8","1.515","1.515","1.515","1.515","2.71%"
"2024-4-5","1.475","1.475","1.475","1.475","0.00%"
"2024-4-4","1.475","1.475","1.475","1.475","0.00%"
"2024-4-3","1.475","1.455","1.475","1.455","1.37%"
"2024-4-2","1.455","1.425","1.455","1.425","2.11%"
"2024-4-1","1.425","1.425","1.425","1.425","-0.70%"
"2024-3-29","1.435","1.425","1.435","1.425","0.70%"
"2024-3-28","1.425","1.435","1.435","1.425","-0.70%"
"2024-3-27","1.435","1.445","1.445","1.435","-0.69%"
"2024-3-26","1.445","1.425","1.445","1.425","1.40%"
"2024-3-25","1.425","1.406","1.425","1.406","11.50%"
"2024-3-22","1.278","1.275","1.405","1.275","0.24%"
"2024-3-21","1.275","1.270","1.275","1.270","0.39%"
"2024-3-20","1.270","1.265","1.270","1.265","0.40%"
"2024-3-19","1.265","1.265","1.265","1.265","0.80%"
"2024-3-18","1.255","1.255","1.255","1.255","1.78%"
"2024-3-15","1.233","1.225","1.233","1.225","0.65%"
"2024-3-14","1.225","1.225","1.225","1.225","0.82%"
"2024-3-13","1.215","1.215","1.215","1.215","0.45%"
"2024-3-12","1.209","1.205","1.209","1.205","0.37%"
"2024-3-11","1.205","1.205","1.205","1.205","0.84%"
"2024-3-8","1.195","1.200","1.200","1.195","-0.42%"
"2024-3-7","1.200","1.200","1.200","1.200","0.42%"
"2024-3-6","1.195","1.197","1.197","1.195","-0.17%"
"2024-3-5","1.197","1.205","1.205","1.197","-0.66%"
"2024-3-4","1.205","1.205","1.205","1.205","-0.33%"
"2024-3-1","1.209","1.215","1.215","1.209","-0.49%"
"2024-2-29","1.215","1.215","1.215","1.215","0.00%"
"2024-2-28","1.215","1.215","1.215","1.215","0.00%"
"2024-2-27","1.215","1.205","1.215","1.205","0.83%"
"2024-2-26","1.205","1.205","1.205","1.205","0.00%"
"2024-2-23","1.205","1.205","1.205","1.205","0.00%"
"2024-2-22","1.205","1.205","1.205","1.205","-0.08%"
"2024-2-21","1.206","1.206","1.206","1.206","-0.33%"
"2024-2-20","1.210","1.213","1.213","1.210","-0.25%"
"2024-2-19","1.213","1.213","1.213","1.213","0.25%"
"2024-2-16","1.210","1.215","1.215","1.210","-0.41%"
"2024-2-15","1.215","1.215","1.215","1.215","1.25%"
"2024-2-14","1.200","1.200","1.200","1.200","0.00%"
"2024-2-13","1.200","1.200","1.200","1.200","0.00%"
"2024-2-12","1.200","1.200","1.200","1.200","0.00%"
"2024-2-9","1.200","1.200","1.200","1.200","0.00%"
"2024-2-8","1.200","1.200","1.200","1.200","0.00%"
"2024-2-7","1.200","1.200","1.200","1.200","0.00%"
"2024-2-6","1.200","1.200","1.200","1.200","0.00%"
"2024-2-5","1.200","1.200","1.200","1.200","2.13%"
"2024-2-2","1.175","1.175","1.175","1.175","-0.59%"
"2024-2-1","1.182","1.182","1.182","1.182","-0.55%"
"2024-1-31","1.189","1.189","1.189","1.189","-1.29%"
"2024-1-30","1.204","1.217","1.217","1.204","-1.07%"
"2024-1-29","1.217","1.217","1.217","1.217","0.58%"
"2024-1-26","1.210","1.210","1.210","1.210","-0.90%"
"2024-1-25","1.221","1.221","1.221","1.221","1.67%"
"2024-1-24","1.201","1.201","1.201","1.201","-1.56%"
"2024-1-23","1.220","1.214","1.220","1.214","0.45%"
"2024-1-22","1.214","1.214","1.214","1.214","0.16%"
"2024-1-19","1.212","1.212","1.212","1.212","0.21%"
"2024-1-18","1.210","1.210","1.210","1.210","0.25%"
"2024-1-17","1.207","1.207","1.207","1.207","0.58%"
"2024-1-16","1.200","1.205","1.205","1.200","-0.41%"
"2024-1-15","1.205","1.235","1.235","1.205","-2.43%"
"2024-1-12","1.235","1.265","1.265","1.235","-2.37%"
"2024-1-11","1.265","1.225","1.265","1.225","3.27%"
"2024-1-10","1.225","1.215","1.225","1.215","0.82%"
"2024-1-9","1.215","1.220","1.220","1.215","-0.41%"
"2024-1-8","1.220","1.249","1.249","1.220","-2.32%"
"2024-1-5","1.249","1.220","1.249","1.220","2.38%"
"2024-1-4","1.220","1.220","1.220","1.220","0.58%"
"2024-1-3","1.213","1.205","1.213","1.205","0.66%"
"2024-1-2","1.205","1.200","1.205","1.200","0.42%"
"2024-1-1","1.200","1.200","1.200","1.200","0.00%"
"2023-12-29","1.200","1.200","1.200","1.200","0.00%"
"2023-12-28","1.200","1.205","1.205","1.200","-0.41%"
"2023-12-27","1.205","1.205","1.205","1.205","0.00%"
"2023-12-26","1.205","1.202","1.205","1.202","0.25%"
"2023-12-25","1.202","1.202","1.202","1.202","0.00%"
"2023-12-22","1.202","1.192","1.202","1.192","0.84%"
"2023-12-21","1.192","1.190","1.192","1.190","0.17%"
"2023-12-20","1.190","1.190","1.190","1.190","0.00%"
"2023-12-19","1.190","1.185","1.190","1.185","0.42%"
"2023-12-18","1.185","1.190","1.190","1.185","-0.42%"
"2023-12-15","1.190","1.190","1.190","1.190","0.00%"
"2023-12-14","1.190","1.190","1.190","1.190","-3.64%"
"2023-12-13","1.235","1.235","1.235","1.235","0.00%"
"2023-12-12","1.235","1.245","1.245","1.235","-0.80%"
"2023-12-11","1.245","1.245","1.245","1.245","0.00%"
"2023-12-8","1.245","1.245","1.245","1.245","0.00%"
"2023-12-7","1.245","1.245","1.245","1.245","0.00%"
"2023-12-6","1.245","1.245","1.245","1.245","0.00%"
"2023-12-5","1.245","1.245","1.245","1.245","0.00%"
"2023-12-4","1.245","1.245","1.245","1.245","-1.19%"
"2023-12-1","1.260","1.260","1.260","1.260","-1.95%"
"2023-11-30","1.285","1.285","1.285","1.285","3.21%"
"2023-11-29","1.245","1.305","1.305","1.245","-4.60%"
"2023-11-28","1.305","1.300","1.305","1.300","0.38%"
"2023-11-27","1.300","1.300","1.300","1.300","-0.99%"
"2023-11-24","1.313","1.295","1.313","1.295","1.39%"
"2023-11-23","1.295","1.295","1.295","1.295","0.08%"
"2023-11-22","1.294","1.300","1.300","1.294","-0.46%"
"2023-11-21","1.300","1.315","1.315","1.300","-1.14%"
"2023-11-20","1.315","1.265","1.315","1.265","3.95%"
"2023-11-17","1.265","1.265","1.265","1.265","1.61%"
"2023-11-16","1.245","1.245","1.245","1.245","0.00%"
"2023-11-15","1.245","1.265","1.265","1.245","-1.58%"
"2023-11-14","1.265","1.255","1.265","1.255","0.80%"
"2023-11-13","1.255","1.255","1.255","1.255","0.40%"
"2023-11-10","1.250","1.250","1.250","1.250","0.00%"
"2023-11-9","1.250","1.250","1.250","1.250","0.00%"
"2023-11-8","1.250","1.250","1.250","1.250","-0.40%"
"2023-11-7","1.255","1.255","1.255","1.255","0.00%"
"2023-11-6","1.255","1.265","1.265","1.255","-0.79%"
"2023-11-3","1.265","1.265","1.265","1.265","0.00%"
"2023-11-2","1.265","1.295","1.295","1.265","-2.32%"
"2023-11-1","1.295","1.295","1.295","1.295","0.00%"
"2023-10-31","1.295","1.295","1.295","1.295","0.00%"
"2023-10-30","1.295","1.295","1.295","1.295","-0.77%"
"2023-10-27","1.305","1.295","1.305","1.295","0.77%"
"2023-10-26","1.295","1.295","1.295","1.295","0.00%"
"2023-10-25","1.295","1.295","1.295","1.295","-0.77%"
"2023-10-24","1.305","1.310","1.310","1.305","-0.38%"
"2023-10-23","1.310","1.320","1.320","1.310","-0.76%"
"2023-10-20","1.320","1.315","1.320","1.315","0.38%"
"2023-10-19","1.315","1.285","1.315","1.285","2.33%"
"2023-10-18","1.285","1.285","1.285","1.285","0.00%"
"2023-10-17","1.285","1.274","1.285","1.274","0.86%"
"2023-10-16","1.274","1.274","1.274","1.274","0.75%"
"2023-10-13","1.265","1.265","1.265","1.265","1.57%"
"2023-10-12","1.245","1.260","1.260","1.245","-1.19%"
"2023-10-11","1.260","1.260","1.260","1.260","-1.56%"
"2023-10-10","1.280","1.280","1.280","1.280","0.00%"
"2023-10-9","1.280","1.280","1.280","1.280","0.00%"
"2023-10-6","1.280","1.266","1.280","1.266","1.07%"
"2023-10-5","1.266","1.271","1.271","1.266","-0.35%"
"2023-10-4","1.271","1.245","1.271","1.245","2.09%"
"2023-10-3","1.245","1.240","1.245","1.240","0.40%"
"2023-10-2","1.240","1.226","1.240","1.226","1.14%"
"2023-9-29","1.226","1.226","1.226","1.226","0.00%"
"2023-9-28","1.226","1.224","1.226","1.224","0.16%"
"2023-9-27","1.224","1.224","1.224","1.224","-1.69%"
"2023-9-26","1.245","1.243","1.245","1.243","0.16%"
"2023-9-25","1.243","1.150","1.243","1.150","1.47%"
"2023-9-22","1.225","1.230","1.230","1.225","-0.41%"
"2023-9-21","1.230","1.210","1.230","1.210","1.65%"
"2023-9-20","1.210","1.205","1.210","1.205","0.41%"
"2023-9-19","1.205","1.235","1.235","1.205","-2.43%"
"2023-9-18","1.235","1.220","1.235","1.220","1.23%"
"2023-9-15","1.220","1.215","1.220","1.215","0.41%"
